work_0, idle_0, heavy_0, work_1, idle_1, heavy_1, work_2, idle_2, heavy_2, work_3, idle_3, heavy_3, chunk_time, total_idle, total_heavy
0.010318,1.5299767e-05,106,0.010322,1.1299737e-05,97,0.0103143,1.8999912e-05,110,0.0103201,1.3199635e-05,111,0.0103333,5.879905e-05,424
0.0099243,6.6999346e-06,98,0.0099078,2.3200177e-05,110,0.0098992,3.180001e-05,93,0.0098964,3.4599565e-05,88,0.009931,9.6299686e-05,389
0.0098917,3.4999102e-06,103,0.0098707,2.4500303e-05,83,0.0098663,2.889987e-05,100,0.0098666,2.8599985e-05,95,0.0098952,8.550007e-05,381
0.0098188,6.4000487e-06,104,0.0098136,1.1599623e-05,92,0.0098177,7.4999407e-06,92,0.0098136,1.1599623e-05,87,0.0098252,3.7099235e-05,375
0.0100313,3.880076e-05,96,0.0100629,7.200055e-06,105,0.0100298,4.030019e-05,100,0.0100273,4.280079e-05,100,0.0100701,0.0001291018,401
0.0100516,2.5100075e-05,103,0.0100686,8.099712e-06,97,0.0100462,3.0499883e-05,107,0.0100569,1.9799918e-05,107,0.0100767,8.349959e-05,414
0.0101363,7.799827e-06,116,0.0101339,1.0199845e-05,101,0.0101342,9.899959e-06,102,0.0101301,1.3999641e-05,95,0.0101441,4.189927e-05,414
0.0099129,2.4300069e-05,95,0.0099109,2.6299618e-05,96,0.0099292,8.000061e-06,98,0.0099086,2.8599985e-05,104,0.0099372,8.719973e-05,393
0.0097831,1.8899329e-05,89,0.009782,1.9999221e-05,102,0.0097904,1.1599623e-05,90,0.0097914,1.0599382e-05,98,0.009802,6.1097555e-05,379
0.0100805,6.300397e-06,117,0.0100683,1.8499792e-05,112,0.0100685,1.8299557e-05,90,0.0100655,2.1300279e-05,89,0.0100868,6.4400025e-05,408
0.0097493,6.6999346e-06,81,0.0097462,9.799376e-06,107,0.009749,6.9998205e-06,91,0.0097475,8.500181e-06,84,0.009756,3.1999312e-05,363
0.0102059,7.4999407e-06,116,0.0102021,1.1300668e-05,101,0.0101996,1.3800338e-05,102,0.010201,1.240056e-05,108,0.0102134,4.5001507e-05,427
0.0103334,7.899478e-06,104,0.0103305,1.0799617e-05,111,0.0103324,8.8997185e-06,110,0.0103313,9.9996105e-06,92,0.0103413,3.7598424e-05,417
0.0101972,1.1200085e-05,106,0.0101972,1.1200085e-05,113,0.0101933,1.5099533e-05,106,0.0101961,1.2299977e-05,100,0.0102084,4.979968e-05,425
0.0100562,9.49949e-06,106,0.0100556,1.0100193e-05,110,0.0100528,1.2899749e-05,104,0.0100511,1.4600344e-05,91,0.0100657,4.7099777e-05,411
0.0101536,2.1800399e-05,112,0.0101489,2.6500784e-05,118,0.0101494,2.6000664e-05,101,0.0101645,1.0900199e-05,97,0.0101754,8.5202046e-05,428
0.0101378,1.3999641e-05,90,0.0101428,8.99937e-06,103,0.0101394,1.2399629e-05,109,0.0101352,1.6599894e-05,96,0.0101518,5.1998533e-05,398
0.0099879,1.0199845e-05,96,0.009988,1.0100193e-05,114,0.0099871,1.0999851e-05,96,0.009987,1.1099502e-05,101,0.0099981,4.239939e-05,407
0.009835,6.799586e-06,93,0.0098147,2.7099624e-05,89,0.0098146,2.7199276e-05,94,0.0098121,2.9699877e-05,82,0.0098418,9.079836e-05,358
0.0100471,2.3600645e-05,107,0.0100455,2.5200658e-05,98,0.0100623,8.40053e-06,97,0.010046,2.4700537e-05,106,0.0100707,8.190237e-05,408
0.0097919,8.199364e-06,92,0.0097887,1.1399388e-05,95,0.0097873,1.28000975e-05,91,0.0097852,1.490023e-05,95,0.0098001,4.729908e-05,373
0.0101983,1.0800548e-05,94,0.0101964,1.2700446e-05,92,0.0101977,1.140032e-05,108,0.0101971,1.2000091e-05,104,0.0102091,4.6901405e-05,398
0.0100355,1.0199845e-05,104,0.0100353,1.0400079e-05,108,0.0100371,8.599833e-06,110,0.0100274,1.8299557e-05,95,0.0100457,4.7499314e-05,417
0.0097276,1.6500242e-05,83,0.0097188,2.5300309e-05,93,0.0097362,7.900409e-06,88,0.0097212,2.290029e-05,100,0.0097441,7.260125e-05,364
0.0103122,1.5200116e-05,102,0.0103208,6.5993518e-06,106,0.0103076,1.9799918e-05,107,0.0103116,1.5799887e-05,91,0.0103274,5.7399273e-05,406
0.0103757,2.1300279e-05,108,0.0103737,2.3299828e-05,111,0.0103879,9.099953e-06,103,0.0103761,2.089981e-05,92,0.010397,7.459987e-05,414
0.0100281,3.4000725e-05,111,0.0100269,3.5200268e-05,95,0.0100262,3.5900623e-05,100,0.0100522,9.899959e-06,90,0.0100621,0.000115001574,396
0.0098649,4.1999854e-05,84,0.0098999,6.9998205e-06,91,0.0098668,4.0099956e-05,87,0.0098641,4.279986e-05,85,0.0099069,0.00013189949,347
0.0103391,2.2600405e-05,110,0.0103432,1.8500723e-05,103,0.0103393,2.240017e-05,108,0.0103487,1.3000332e-05,107,0.0103617,7.650163e-05,428
0.0100147,2.6100315e-05,106,0.0100305,1.0300428e-05,100,0.0100314,9.399839e-06,92,0.0100103,3.0499883e-05,93,0.0100408,7.6300465e-05,391
0.0100352,3.0199997e-05,107,0.0100585,6.900169e-06,98,0.0100304,3.5000034e-05,94,0.0100296,3.580004e-05,96,0.0100654,0.00010790024,395
